#                                                                                                                                  --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                                       accession  query name               accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                                               ------------------- ----------     -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
IMGVR_UViG_3300045988_009377|3300045988|Ga0495776_055990_10                         -          phage-family-interpro-v4 -           5.8e-234  788.7   0.0  7.1e-234  788.4   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_009459|3300045988|Ga0495776_067641_10                         -          phage-family-interpro-v4 -           5.8e-234  788.7   0.0  7.1e-234  788.4   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300029678_000012|3300029678|Ga0245195_100686_26                         -          phage-family-interpro-v4 -           6.7e-234  788.5   0.0  8.1e-234  788.2   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_004482|3300045988|Ga0495776_019670_41                         -          phage-family-interpro-v4 -           6.7e-234  788.5   0.0  8.1e-234  788.2   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300029135_000005|3300029135|Ga0168740_100326_9                          -          phage-family-interpro-v4 -           1.1e-233  787.7   0.0  1.4e-233  787.4   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_004447|3300045988|Ga0495776_025006_39                         -          phage-family-interpro-v4 -           1.1e-233  787.7   0.0  1.4e-233  787.4   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_011013|3300045988|Ga0495776_113701_46                         -          phage-family-interpro-v4 -           1.2e-233  787.6   0.0  1.4e-233  787.4   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_017181|3300045988|Ga0495776_002077_46                         -          phage-family-interpro-v4 -           1.2e-233  787.6   0.0  1.4e-233  787.4   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_010323|3300045988|Ga0495776_019754_46                         -          phage-family-interpro-v4 -           1.3e-233  787.5   0.0  1.6e-233  787.2   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_011407|3300045988|Ga0495776_019760_46                         -          phage-family-interpro-v4 -           1.3e-233  787.5   0.0  1.6e-233  787.2   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300008672_000008|3300008672|Ga0111519_100747_30                         -          phage-family-interpro-v4 -           1.5e-233  787.3   0.0  1.8e-233  787.0   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_008353|3300045988|Ga0495776_019496_21                         -          phage-family-interpro-v4 -           1.5e-233  787.3   0.0  1.8e-233  787.0   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_005416|3300045988|Ga0495776_019721_47                         -          phage-family-interpro-v4 -           1.5e-233  787.3   0.0  1.9e-233  787.0   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_013569|3300045988|Ga0495776_001013_41                         -          phage-family-interpro-v4 -           1.6e-233  787.2   0.0  1.9e-233  786.9   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_010257|3300045988|Ga0495776_070738_4                          -          phage-family-interpro-v4 -           1.7e-233  787.1   0.0  2.1e-233  786.8   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300029218_000007|3300029218|Ga0168718_100471_6                          -          phage-family-interpro-v4 -           1.8e-233  787.1   0.0  2.1e-233  786.8   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_009415|3300045988|Ga0495776_027934_47                         -          phage-family-interpro-v4 -           1.8e-233  787.1   0.0  2.1e-233  786.8   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_023844|3300045988|Ga0495776_112312_33                         -          phage-family-interpro-v4 -           1.8e-233  787.1   0.0  2.1e-233  786.8   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_2927991490_000002|2927991490|2927991504|124788-168520_55                 -          phage-family-interpro-v4 -           2.4e-233  786.6   0.0  2.9e-233  786.4   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_004891|3300045988|Ga0495776_020850_25                         -          phage-family-interpro-v4 -           2.7e-233  786.5   0.0  3.3e-233  786.2   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_008381|3300045988|Ga0495776_020795_17                         -          phage-family-interpro-v4 -           2.7e-233  786.5   0.0  3.3e-233  786.2   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300011838_000012|3300011838|Ga0121007_100016|24387-69361_53             -          phage-family-interpro-v4 -           3.4e-233  786.1   0.0  3.8e-233  786.0   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300045988_011342|3300045988|Ga0495776_027909_45                         -          phage-family-interpro-v4 -           3.5e-233  786.1   0.0  4.2e-233  785.8   0.0   1.0   1   0   0   1   1   1   1 -
IMGVR_UViG_3300006182_000056|3300006182|Ga0075033_1000035|34428-75485_52            -          phage-family-interpro-v4 -           3.6e-233  786.1   0.0    4e-233  785.9   0.0   1.0   1   0   0   1   1   1   1 -
