# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.3.2 (Nov 2020); http://hmmer.org/
# Copyright (C) 2020 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  hmm/phage-family-interpro-v4.hmm
# target sequence database:        phagescope/IMG_VR.fasta
# output directed to file:         output/IMG_VR_hmmout.txt
# per-seq hits tabular output:     output/IMG_VR_hmmout.tbl.txt
# show alignments in output:       no
# sequence reporting threshold:    E-value <= 0.001
# number of worker threads:        50
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       phage-family-interpro-v4  [M=997]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence                                                                            Description
    ------- ------ -----    ------- ------ -----   ---- --  --------                                                                            -----------
   2.5e-234  789.9   0.0     3e-234  789.6   0.0    1.0  1  IMGVR_UViG_3300007853_000004|3300007853|Ga0114093_100574_5                           
   2.5e-234  789.9   0.0     3e-234  789.6   0.0    1.0  1  IMGVR_UViG_3300045988_004579|3300045988|Ga0495776_001411_4                           
   2.5e-234  789.9   0.0     3e-234  789.6   0.0    1.0  1  IMGVR_UViG_3300045988_004905|3300045988|Ga0495776_001388_28                          
   2.7e-234  789.8   0.0   3.2e-234  789.5   0.0    1.0  1  IMGVR_UViG_3300045988_010300|3300045988|Ga0495776_020740_7                           
   2.7e-234  789.8   0.0   3.2e-234  789.5   0.0    1.0  1  IMGVR_UViG_3300045988_010301|3300045988|Ga0495776_020761_46                          
   3.2e-234  789.5   0.0   3.9e-234  789.2   0.0    1.0  1  IMGVR_UViG_3300045988_003404|3300045988|Ga0495776_070647_5                           
   3.7e-234  789.3   0.0   4.5e-234  789.0   0.0    1.0  1  IMGVR_UViG_3300045988_009324|3300045988|Ga0495776_029046_4                           
   4.6e-234  789.0   0.0   5.2e-234  788.8   0.0    1.0  1  IMGVR_UViG_3300035639_000051|3300035639|Ga0394085_08778|67843-108953_51              
   5.1e-234  788.8   0.0   6.2e-234  788.6   0.0    1.0  1  IMGVR_UViG_3300014537_000006|3300014537|Ga0134397_100244_1                           
   5.1e-234  788.8   0.0   6.2e-234  788.6   0.0    1.0  1  IMGVR_UViG_3300014546_000008|3300014546|Ga0134410_100216_20                          
   5.1e-234  788.8   0.0   6.2e-234  788.6   0.0    1.0  1  IMGVR_UViG_3300014709_000012|3300014709|Ga0134424_100119_1                           
   5.1e-234  788.8   0.0   6.2e-234  788.6   0.0    1.0  1  IMGVR_UViG_3300014761_000009|3300014761|Ga0134438_100166_8                           
   5.1e-234  788.8   0.0   6.2e-234  788.6   0.0    1.0  1  IMGVR_UViG_3300045988_009348|3300045988|Ga0495776_094429_48                          
   5.1e-234  788.8   0.0   6.2e-234  788.6   0.0    1.0  1  IMGVR_UViG_3300045988_009363|3300045988|Ga0495776_055974_1                           
   5.1e-234  788.8   0.0   6.2e-234  788.6   0.0    1.0  1  IMGVR_UViG_3300045988_009447|3300045988|Ga0495776_026332_48                          
   5.1e-234  788.8   0.0   6.2e-234  788.6   0.0    1.0  1  IMGVR_UViG_3300045988_011401|3300045988|Ga0495776_055808_32                          
   5.8e-234  788.7   0.0   7.1e-234  788.4   0.0    1.0  1  IMGVR_UViG_3300045988_009377|3300045988|Ga0495776_055990_10                          
   5.8e-234  788.7   0.0   7.1e-234  788.4   0.0    1.0  1  IMGVR_UViG_3300045988_009459|3300045988|Ga0495776_067641_10                          
   6.7e-234  788.5   0.0   8.1e-234  788.2   0.0    1.0  1  IMGVR_UViG_3300029678_000012|3300029678|Ga0245195_100686_26                          
   6.7e-234  788.5   0.0   8.1e-234  788.2   0.0    1.0  1  IMGVR_UViG_3300045988_004482|3300045988|Ga0495776_019670_41                          
   1.1e-233  787.7   0.0   1.4e-233  787.4   0.0    1.0  1  IMGVR_UViG_3300029135_000005|3300029135|Ga0168740_100326_9                           
   1.1e-233  787.7   0.0   1.4e-233  787.4   0.0    1.0  1  IMGVR_UViG_3300045988_004447|3300045988|Ga0495776_025006_39                          
   1.2e-233  787.6   0.0   1.4e-233  787.4   0.0    1.0  1  IMGVR_UViG_3300045988_011013|3300045988|Ga0495776_113701_46                          
   1.2e-233  787.6   0.0   1.4e-233  787.4   0.0    1.0  1  IMGVR_UViG_3300045988_017181|3300045988|Ga0495776_002077_46                          
   1.3e-233  787.5   0.0   1.6e-233  787.2   0.0    1.0  1  IMGVR_UViG_3300045988_010323|3300045988|Ga0495776_019754_46                          
   1.3e-233  787.5   0.0   1.6e-233  787.2   0.0    1.0  1  IMGVR_UViG_3300045988_011407|3300045988|Ga0495776_019760_46                          
   1.5e-233  787.3   0.0   1.8e-233  787.0   0.0    1.0  1  IMGVR_UViG_3300008672_000008|3300008672|Ga0111519_100747_30                          
   1.5e-233  787.3   0.0   1.8e-233  787.0   0.0    1.0  1  IMGVR_UViG_3300045988_008353|3300045988|Ga0495776_019496_21                          
   1.5e-233  787.3   0.0   1.9e-233  787.0   0.0    1.0  1  IMGVR_UViG_3300045988_005416|3300045988|Ga0495776_019721_47                          
   1.6e-233  787.2   0.0   1.9e-233  786.9   0.0    1.0  1  IMGVR_UViG_3300045988_013569|3300045988|Ga0495776_001013_41                          
   1.7e-233  787.1   0.0   2.1e-233  786.8   0.0    1.0  1  IMGVR_UViG_3300045988_010257|3300045988|Ga0495776_070738_4                           
   1.8e-233  787.1   0.0   2.1e-233  786.8   0.0    1.0  1  IMGVR_UViG_3300029218_000007|3300029218|Ga0168718_100471_6                           
   1.8e-233  787.1   0.0   2.1e-233  786.8   0.0    1.0  1  IMGVR_UViG_3300045988_009415|3300045988|Ga0495776_027934_47                          
   1.8e-233  787.1   0.0   2.1e-233  786.8   0.0    1.0  1  IMGVR_UViG_3300045988_023844|3300045988|Ga0495776_112312_33                          
   2.4e-233  786.6   0.0   2.9e-233  786.4   0.0    1.0  1  IMGVR_UViG_2927991490_000002|2927991490|2927991504|124788-168520_55                  
   2.7e-233  786.5   0.0   3.3e-233  786.2   0.0    1.0  1  IMGVR_UViG_3300045988_004891|3300045988|Ga0495776_020850_25                          
   2.7e-233  786.5   0.0   3.3e-233  786.2   0.0    1.0  1  IMGVR_UViG_3300045988_008381|3300045988|Ga0495776_020795_17                          
   3.4e-233  786.1   0.0   3.8e-233  786.0   0.0    1.0  1  IMGVR_UViG_3300011838_000012|3300011838|Ga0121007_100016|24387-69361_53              
   3.5e-233  786.1   0.0   4.2e-233  785.8   0.0    1.0  1  IMGVR_UViG_3300045988_011342|3300045988|Ga0495776_027909_45                          
